iter	Passed	Remaining
0	198	198345
1	208	104206
2	218	72737
3	227	56678
4	237	47244
5	247	40985
6	256	36406
7	266	33046
8	273	30120
9	281	27870
10	288	25916
11	297	24464
12	304	23094
13	312	21978
14	318	20909
15	325	19988
16	331	19188
17	338	18457
18	347	17946
19	354	17390
20	362	16895
21	368	16395
22	376	15989
23	383	15604
24	391	15249
25	397	14896
26	405	14617
27	414	14385
28	420	14095
29	428	13862
30	435	13616
31	443	13407
32	450	13203
33	458	13025
34	465	12834
35	473	12671
36	480	12500
37	487	12344
38	495	12208
39	502	12068
40	510	11938
41	518	11835
42	527	11742
43	536	11659
44	544	11560
45	552	11466
46	562	11399
47	571	11341
48	580	11259
49	588	11181
50	596	11100
51	603	10996
52	610	10912
53	619	10852
54	627	10779
55	635	10708
56	643	10641
57	651	10584
58	660	10530
59	668	10470
60	680	10469
61	687	10396
62	695	10339
63	703	10287
64	711	10235
65	719	10186
66	727	10126
67	735	10076
68	742	10024
69	750	9976
70	759	9935
71	768	9903
72	776	9856
73	785	9823
74	793	9780
75	801	9750
76	809	9703
77	818	9671
78	825	9623
79	831	9567
80	839	9527
81	848	9495
82	856	9457
83	864	9424
84	873	9398
85	882	9376
86	890	9341
87	899	9323
88	907	9288
89	916	9267
90	924	9230
91	932	9201
92	939	9165
93	946	9119
94	953	9085
95	961	9052
96	969	9025
97	978	9008
98	986	8982
99	996	8967
100	1003	8935
101	1012	8912
102	1019	8881
103	1028	8860
104	1035	8830
105	1043	8799
106	1051	8778
107	1060	8755
108	1067	8729
109	1076	8707
110	1084	8685
111	1093	8667
112	1101	8643
113	1110	8632
114	1118	8605
115	1127	8589
116	1134	8558
117	1140	8527
118	1148	8504
119	1157	8485
120	1164	8462
121	1172	8441
122	1181	8422
123	1190	8411
124	1199	8397
125	1206	8365
126	1213	8340
127	1222	8328
128	1230	8309
129	1238	8289
130	1246	8268
131	1254	8249
132	1262	8228
133	1269	8206
134	1277	8187
135	1286	8170
136	1294	8152
137	1301	8131
138	1309	8110
139	1317	8094
